Latitud,Longitud,Calle,Colonia,Municipio,Estado,CP
22.7744513,-102.5718337,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
22.7699792,-102.5752704,Callejon del Resbalon,No especificada,Zacatecas,Zacatecas,98050
22.7670078,-102.5770199,Avenida Ignacio Rayón,No especificada,Zacatecas,Zacatecas,98050
22.7662586,-102.576268,Callejón de Ruiz,No especificada,Zacatecas,Zacatecas,98000
22.7738059,-102.5734382,Avenida Hidalgo,No especificada,Zacatecas,Zacatecas,98000
22.768591,-102.5757505,Avenida Ignacio Rayón,No especificada,Zacatecas,Zacatecas,98050
22.7676551,-102.5748182,Callejon Del Codo,No especificada,Zacatecas,Zacatecas,98050
22.7740822,-102.5748364,Privada Crucero del Lazo,No especificada,Zacatecas,Zacatecas,98000
22.7730616,-102.5745535,Peatonal Callejón de Cuevas,No especificada,Zacatecas,Zacatecas,98000
22.7708475,-102.5742934,Callejón Juventino Rosas,No especificada,Zacatecas,Zacatecas,98000
22.7668089,-102.5755339,Calle Antigua Matamoros,No especificada,Zacatecas,Zacatecas,98050
22.7750283,-102.574709,Calle Mártires de Chicago,No especificada,Zacatecas,Zacatecas,98000
22.7692316,-102.5749236,Avenida Rayón,No especificada,Zacatecas,Zacatecas,98050
22.7699237,-102.5700702,Callejón del Barro,No especificada,Zacatecas,Zacatecas,98000
22.7720779,-102.571971,Avenida Vicente Guerrero,No especificada,Zacatecas,Zacatecas,98000
22.7702574,-102.5734031,Callejón de Quijano,No especificada,Zacatecas,Zacatecas,98000
22.7686194,-102.5728424,Boulevard Adolfo López Mateos,No especificada,Zacatecas,Zacatecas,98000
22.7727783,-102.5754561,Peatonal Jardín Juárez,No especificada,Zacatecas,Zacatecas,98000
22.7747086,-102.5719209,Calle Aguascalientes,No especificada,Zacatecas,Zacatecas,98000
22.772234,-102.5731295,Calle Aldama,No especificada,Zacatecas,Zacatecas,98000
22.7672846,-102.5752273,Callejón del Portillo,No especificada,Zacatecas,Zacatecas,98050
22.7693859,-102.5722902,Arroyo de la Plata,No especificada,Zacatecas,Zacatecas,98000
22.7750562,-102.5739381,Callejón de San Agustín,No especificada,Zacatecas,Zacatecas,98000
22.7673621,-102.5771282,Calle Segunda de Palomares,No especificada,Zacatecas,Zacatecas,98050
22.7747826,-102.5731986,Plazuela Francisco Goitia,No especificada,Zacatecas,Zacatecas,98000
22.7701808,-102.5702856,Avenida Ramón López Velarde,No especificada,Zacatecas,Zacatecas,98000
22.7743784,-102.5726935,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
22.7700065,-102.5754292,Callejon del Resbalon,No especificada,Zacatecas,Zacatecas,98050
22.7714881,-102.5716257,Avenida Vicente Guerrero,No especificada,Zacatecas,Zacatecas,98000
22.7706792,-102.5714879,Calle Doctor Diego Cuevas Cansino,No especificada,Zacatecas,Zacatecas,98000
22.7694814,-102.5747604,Avenida Rayón,No especificada,Zacatecas,Zacatecas,98050
22.7773287,-102.5718965,Avenida Hidalgo,No especificada,Zacatecas,Zacatecas,98000
22.7704123,-102.5729586,Plaza Bicentenario,No especificada,Zacatecas,Zacatecas,98000
22.7738048,-102.572268,Calle Primero de Mayo,No especificada,Zacatecas,Zacatecas,98000
22.768986,-102.5743386,Callejón Primero del Enano,No especificada,Zacatecas,Zacatecas,98050
22.7279193,-102.5118513,Calle Valle Dorado,No especificada,Guadalupe,Zacatecas,98605
22.7251883,-102.5273128,Calle no registrada,No especificada,Guadalupe,Zacatecas,98600
22.726733,-102.5000033,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7228586,-102.497718,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.7288544,-102.5231094,Calle Solidaridad,No especificada,Guadalupe,Zacatecas,98600
22.7178184,-102.5064345,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.7129219,-102.5078554,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.7264373,-102.5017757,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7100801,-102.4940216,Calle Vicente Guerrero,No especificada,Cieneguitas,Zacatecas,98605
22.7279254,-102.5155939,Calle Valle Dorado,No especificada,Guadalupe,Zacatecas,98605
22.7147762,-102.519726,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7200129,-102.5241791,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.6990902,-102.5255793,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.7227635,-102.5175298,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,Guadalupe,Zacatecas,98605
22.7152747,-102.5110917,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.7139095,-102.4979447,1ro de Mayo,No especificada,Cieneguitas,Zacatecas,98605
22.7138115,-102.5256557,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.703983,-102.5142766,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
22.7214496,-102.5188261,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,Guadalupe,Zacatecas,98605
22.7233146,-102.5021678,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.701416,-102.5172391,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
22.7343122,-102.4967769,Calle Valenciana,No especificada,Guadalupe,Zacatecas,98605
22.7190693,-102.5183033,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
